Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal,
"2021-07-14",147.4750,148.9388,147.0568,148.5206,127050800.0000,141.5673,136.9260,4.6413,3.6767,
"2021-07-15",148.6102,149.3670,146.4693,147.8534,106820300.0000,142.5344,137.7354,4.7990,3.9011,
"2021-07-16",147.8335,149.1280,145.2644,145.7723,93251400.0000,143.0325,138.3307,4.7018,4.0613,
"2021-07-19",143.1434,143.4621,141.0722,141.8489,121434600.0000,142.8504,138.5914,4.2591,4.1008,
"2021-07-20",142.8546,146.4793,142.3567,145.5333,96350000.0000,143.2632,139.1056,4.1576,4.1122,
"2021-07-21",144.9159,145.5134,144.0197,144.7864,74993500.0000,143.4975,139.5264,3.9711,4.0840,
"2021-07-22",145.3242,147.5746,145.1947,146.1805,77338200.0000,143.9103,140.0193,3.8910,4.0454,
"2021-07-23",146.9274,148.0924,146.3000,147.9331,71447400.0000,144.5292,140.6055,3.9237,4.0210,
"2021-07-26",147.6443,149.1977,147.0767,148.3613,72434100.0000,145.1187,141.1800,3.9387,4.0046,
"2021-07-27",148.4907,148.5804,144.9358,146.1507,104818600.0000,145.2775,141.5482,3.7293,3.9495,
"2021-07-28",144.1989,146.3498,141.9385,144.3682,118931200.0000,145.1376,141.7571,3.3805,3.8357,
"2021-07-29",144.0794,145.9316,143.9699,145.0254,56699500.0000,145.1203,141.9992,3.1212,3.6928,
"2021-07-30",143.7707,145.7125,143.5019,145.2445,70440600.0000,145.1394,142.2396,2.8999,3.5342,
"2021-08-02",145.7424,146.3299,144.6371,144.9059,62880000.0000,145.1035,142.4371,2.6664,3.3607,
"2021-08-03",145.1947,147.4153,144.5674,146.7382,64786600.0000,145.3550,142.7557,2.5993,3.2084,
"2021-08-04",146.6486,147.1663,145.6627,146.3299,56368300.0000,145.5050,143.0204,2.4846,3.0636,
"2021-08-05",146.3598,147.2161,145.5532,146.4394,46397700.0000,145.6487,143.2737,2.3751,2.9259,
"2021-08-06",145.9508,146.7087,145.2327,145.7413,54126800.0000,145.6630,143.4565,2.2065,2.7820,
"2021-08-9",145.8012,146.2998,145.1230,145.6915,48908700.0000,145.6674,143.6220,2.0453,2.6347,
"2021-08-10",146.0405,147.3071,144.9036,145.2028,69023100.0000,145.5959,143.7391,1.8568,2.4791,
