Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal
2021-03-12,670.0000,694.8800,666.1400,693.7300,33583800,677.8911,715.7512,-37.8601,-41.6644
2021-03-15,694.0900,713.1800,684.0400,707.9400,29335600,682.5140,715.1726,-32.6586,-39.8632
2021-03-16,703.3500,707.9200,671.0000,676.8800,32195700,681.6472,712.3361,-30.6888,-38.0284
2021-03-17,656.8700,703.7300,651.0100,701.8100,40372500,684.7492,711.5564,-26.8072,-35.7841
2021-03-18,684.2900,689.2300,652.0000,653.1600,33224800,679.8893,707.2307,-27.3414,-34.0956
2021-03-19,646.6000,657.2300,624.6200,654.8700,42894000,676.0402,703.3521,-27.3119,-32.7388
2021-03-22,684.5900,699.6200,668.7500,670.0000,39512200,675.1109,700.8816,-25.7707,-31.3452
2021-03-23,675.7700,677.8000,657.5100,662.1600,30491900,673.1185,698.0133,-24.8949,-30.0551
2021-03-24,667.9100,668.0200,630.1100,630.2700,33795200,666.5264,692.9953,-26.4689,-29.3379
2021-03-25,613.0000,645.5000,609.5000,640.3900,39224900,662.5054,689.0986,-26.5932,-28.7890
2021-03-26,641.8700,643.8200,599.8900,618.7100,33852800,655.7677,683.8847,-28.1170,-28.6546
2021-03-29,615.6400,616.4800,596.0200,611.2900,28637000,648.9249,678.5073,-29.5823,-28.8401
2021-03-30,601.7500,637.6600,591.0100,635.6200,39432400,646.8780,675.3304,-28.4524,-28.7626
2021-03-31,646.6200,672.0000,641.1100,667.9300,33337300,650.1168,674.7823,-24.6655,-27.9431
2021-04-01,688.3700,692.4200,659.4200,661.7500,35298400,651.9065,673.8169,-21.9104,-26.7366
2021-04-05,707.7100,708.1600,684.7000,691.0500,41842800,657.9286,675.0934,-17.1648,-24.8222
2021-04-06,690.3000,696.5500,681.3700,691.6200,28271800,663.1119,676.3176,-13.2057,-22.4989
2021-04-07,687.0000,691.3800,667.8400,670.9700,26309400,664.3208,675.9215,-11.6007,-20.3193
