Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal
2021-02-17,151.5518,152.0762,147.6459,148.9046,27475600,144.4192,139.2085,5.2107,
2021-02-18,147.1364,148.5774,145.5980,148.1353,23386800,144.9910,139.8698,5.1212,
2021-02-19,150.0883,151.6117,148.3127,149.1093,27172400,145.6246,140.5542,5.0704,
2021-02-22,147.5934,151.1747,143.1006,143.4078,32588400,145.2835,140.7656,4.5180,4.4364
2021-02-23,140.6057,142.2390,133.7554,141.2725,39178000,144.6664,140.8031,3.8633,4.3218
2021-02-24,141.0802,144.9162,137.4166,144.8388,44832000,144.6930,141.1020,3.5909,4.1756
2021-02-25,140.3085,143.5976,132.0247,132.9362,82443600,142.8842,140.4972,2.3871,3.8179
2021-02-26,137.3816,138.4005,133.4707,137.0020,50093200,141.9793,140.2383,1.7410,3.4025
2021-03-01,138.6053,139.1048,135.3912,138.2731,35318400,141.4091,140.0927,1.3164,2.9853
2021-03-02,138.8551,139.0598,133.8203,133.9227,26411600,140.2573,139.6357,0.6217,2.5126
2021-03-03,134.1225,134.3747,127.8540,127.9140,37759200,138.3584,138.7674,-0.4090,1.9283
2021-03-04,127.8740,129.6147,120.7115,123.5735,57334400,136.0838,137.6419,-1.5582,1.2310
2021-03-05,125.3691,125.3691,116.6707,124.4850,54284000,134.2993,136.6673,-2.3680,0.5112
2021-03-08,124.3702,124.5824,115.5444,115.8116,54311200,131.4551,135.1225,-3.6674,-0.3245
2021-03-9,121.2178,126.0794,120.5083,125.1151,52182400,130.4797,134.3812,-3.9015,-1.0399
2021-03-10,128.3154,129.7094,124.4880,124.5955,38437600,129.5744,133.6563,-4.0819,-1.6483
2021-03-11,129.4096,130.3714,127.2561,129.8443,29991600,129.6160,133.3739,-3.7580,-2.0702
2021-03-12,126.3942,128.7975,125.8121,128.4703,24396400,129.4397,133.0107,-3.5710,-2.3704
2021-03-15,128.5577,131.9753,127.5834,131.8204,22198800,129.8060,132.9225,-3.1166,-2.5196
2021-03-16,133.4718,135.0307,131.0759,132.8197,27212800,130.2696,132.9149,-2.6453,-2.5448
2021-03-17,130.3065,134.4386,129.8043,133.3194,24386400,130.7388,132.9449,-2.2061,-2.4770
2021-03-18,131.2733,131.7480,127.0812,127.1362,29389600,130.1846,132.5146,-2.3300,-2.4476
2021-03-19,127.4110,129.1248,126.0370,128.3678,29920800,129.9051,132.2074,-2.3024,-2.4186
2021-03-22,129.0374,133.8515,128.9774,131.7705,29780400,130.1921,132.1751,-1.9830,-2.3315
2021-03-23,132.4500,133.3519,130.1216,130.6163,22204800,130.2573,132.0596,-1.8023,-2.2256
2021-03-24,131.4207,131.5006,126.2793,126.3418,24584000,129.6549,131.6361,-1.9811,-2.1767
2021-03-25,124.9078,127.0588,122.6343,125.2650,29514400,128.9795,131.1641,-2.1846,-2.1783
2021-03-26,125.4574,128.4728,123.6486,128.3029,36396800,128.8754,130.9522,-2.0767,-2.1580
2021-03-29,128.1130,130.5338,126.9114,129.3921,27352000,128.9549,130.8366,-1.8817,-2.1027
2021-03-30,128.3304,129.6619,126.9613,128.6277,20020400,128.9046,130.6730,-1.7684,-2.0359
