Date,Open,High,Low,Close,Volume,EMA-12,EMA-26,MACD,Signal
2021-02-22,88.1500,88.3000,85.2100,85.3700,36930200,89.6314,90.5411,-0.9097,-0.6395
2021-02-23,83.4000,85.1100,79.3600,84.7400,49720900,88.8788,90.1114,-1.2325,-0.7581
2021-02-24,84.3300,87.0900,82.8100,86.9400,40821200,88.5806,89.8764,-1.2959,-0.8657
2021-02-25,86.1700,87.0900,81.9200,82.4200,54625100,87.6328,89.3241,-1.6913,-1.0308
2021-02-26,83.5700,85.5900,82.9100,84.5100,48962900,87.1524,88.9675,-1.8152,-1.1877
2021-03-01,85.3700,86.5000,83.9700,86.3900,32746200,87.0351,88.7766,-1.7415,-1.2984
2021-03-02,86.9200,86.9500,84.0400,84.1300,34828200,86.5881,88.4324,-1.8443,-1.4076
2021-03-03,84.2800,84.3800,80.8500,80.8600,43541000,85.7069,87.8715,-2.1646,-1.5590
2021-03-04,80.2300,81.8100,76.7800,77.7500,60549400,84.4827,87.1217,-2.6390,-1.7750
2021-03-05,79.0000,79.4800,74.2000,78.5200,58548900,83.5654,86.4846,-2.9192,-2.0038
2021-03-08,78.0300,79.0000,73.8600,73.9600,54563900,82.0876,85.5568,-3.4692,-2.2969
2021-03-9,76.7300,79.2200,75.7700,78.5300,45088300,81.5403,85.0363,-3.4960,-2.5367
2021-03-10,79.7500,80.0400,77.4100,77.5200,45416600,80.9218,84.4796,-3.5577,-2.7409
2021-03-11,79.4000,81.8900,79.3700,81.2300,43583700,80.9692,84.2388,-3.2696,-2.8467
2021-03-12,79.7300,81.1900,79.2300,81.0500,32938000,80.9816,84.0026,-3.0210,-2.8815
2021-03-15,81.9100,83.3900,81.2000,82.5000,39086800,81.2152,83.8913,-2.6761,-2.8404
2021-03-16,83.6600,84.7500,82.2600,82.7500,42971600,81.4514,83.8068,-2.3554,-2.7434
2021-03-17,81.7500,83.2500,80.4100,82.6300,43320600,81.6327,83.7196,-2.0869,-2.6121
2021-03-18,81.0600,81.6200,78.0100,78.1200,51036500,81.0923,83.3048,-2.2126,-2.5322
2021-03-19,78.4900,79.3400,77.5900,79.0600,42283400,80.7796,82.9904,-2.2108,-2.4679
2021-03-22,79.9900,81.2700,79.2200,80.3000,39648600,80.7058,82.7911,-2.0853,-2.3914
2021-03-23,80.1300,80.3400,77.9500,78.3800,40466600,80.3480,82.4644,-2.1164,-2.3364
2021-03-24,77.5500,78.8000,76.4000,76.4800,43753600,79.7529,82.0211,-2.2681,-2.3227
2021-03-25,75.8500,76.9500,74.9600,76.2200,44735100,79.2094,81.5914,-2.3820,-2.3346
2021-03-26,76.6200,77.5000,75.0300,77.4100,49148700,78.9326,81.2816,-2.3491,-2.3375
2021-03-29,77.0300,78.0200,76.2600,77.1400,37144300,78.6568,80.9748,-2.3181,-2.3336
2021-03-30,76.4700,76.5600,74.8500,76.0000,39169300,78.2481,80.6063,-2.3583,-2.3385
2021-03-31,76.5700,79.1300,76.5200,78.5000,43659500,78.2868,80.4503,-2.1635,-2.3035
2021-04-01,80.1600,81.3100,79.4800,81.0900,40182400,78.7181,80.4977,-1.7796,-2.1987
2021-04-05,81.7400,81.9000,80.3900,81.4300,32610600,79.1353,80.5668,-1.4315,-2.0453
2021-04-06,81.2100,82.4600,80.8800,81.4400,29327900,79.4899,80.6314,-1.1416,-1.8645
2021-04-07,81.3200,83.1000,80.3500,82.2000,35590900,79.9068,80.7476,-0.8408,-1.6598
2021-04-08,83.3200,83.7900,82.4400,83.3500,41925300,80.4365,80.9404,-0.5039,-1.4286
2021-04-9,82.8000,83.5900,82.1600,82.7600,32759900,80.7940,81.0752,-0.2812,-1.1991
2021-04-12,82.0600,82.1800,78.0300,78.5800,62098800,80.4534,80.8904,-0.4370,-1.0467
2021-04-13,79.6700,80.7200,78.9800,80.1900,37767300,80.4129,80.8385,-0.4256,-0.9225
2021-04-14,79.8800,80.1300,77.9400,78.5500,34263800,80.1263,80.6690,-0.5427,-0.8465
2021-04-15,80.3200,83.9500,79.9700,83.0100,68942800,80.5699,80.8424,-0.2725,-0.7317
2021-04-16,83.3000,83.5900,81.5300,82.1500,47280600,80.8130,80.9392,-0.1262,-0.6106
2021-04-19,82.1300,83.1800,80.3900,81.1100,39115500,80.8587,80.9519,-0.0932,-0.5071
2021-04-20,80.8200,81.1100,78.5100,79.2700,34977800,80.6143,80.8273,-0.2130,-0.4483
2021-04-21,78.9900,81.6600,78.8600,81.6100,35069000,80.7675,80.8853,-0.1178,-0.3822
2021-04-22,81.6100,81.7900,78.5900,79.0600,38846100,80.5048,80.7501,-0.2453,-0.3548
2021-04-23,80.2100,83.3000,79.9600,82.7600,49194000,80.8517,80.8990,-0.0472,-0.2933
2021-04-26,83.3500,85.9000,82.7000,85.4100,57594500,81.5530,81.2331,0.3199,-0.1707
2021-04-27,85.6700,87.1500,85.1300,85.2100,61909900,82.1156,81.5277,0.5879,-0.0189
2021-04-28,88.8500,89.2000,83.9200,84.0200,108920300,82.4086,81.7123,0.6963,0.1241
2021-04-29,84.7000,85.2700,82.6300,83.9100,51294500,82.6396,81.8751,0.7645,0.2522
2021-04-30,82.9700,84.1000,81.4200,81.6200,46601900,82.4827,81.8562,0.6265,0.3271
2021-05-03,81.9700,82.0000,78.4600,78.5500,66323300,81.8777,81.6113,0.2664,0.3149
2021-05-04,77.9500,78.6700,77.0400,78.6100,59194300,81.3750,81.3890,-0.0140,0.2491
2021-05-05,79.0500,79.3000,77.3600,77.8300,42310200,80.8296,81.1254,-0.2958,0.1402
2021-05-06,77.6300,78.0600,76.4700,77.8900,38661300,80.3773,80.8857,-0.5083,0.0105
2021-05-07,78.7500,79.5700,78.2200,78.8100,36954200,80.1362,80.7319,-0.5957,-0.1108
2021-05-10,78.2000,78.3000,75.9200,75.9900,45134500,79.4983,80.3807,-0.8823,-0.2651
2021-05-11,73.5700,76.9300,72.7500,76.8300,51008200,79.0878,80.1177,-1.0298,-0.4180
2021-05-12,75.0900,76.1300,74.1600,74.6400,42531400,78.4035,79.7119,-1.3084,-0.5961
2021-05-13,75.2100,75.7000,72.5000,73.0900,48646800,77.5861,79.2214,-1.6353,-0.8040
2021-05-14,74.0200,75.0300,72.7200,74.5900,38355800,77.1251,78.8783,-1.7532,-0.9938
2021-05-17,74.2200,75.5200,73.4100,74.6500,40779200,76.7443,78.5651,-1.8208,-1.1592
2021-05-18,74.7400,75.7700,74.2400,74.4400,31982500,76.3898,78.2596,-1.8697,-1.3013
2021-05-19,73.1600,76.9700,72.7600,76.2300,73966200,76.3652,78.1092,-1.7440,-1.3898
2021-05-20,76.8100,78.2700,76.2500,78.0600,49135000,76.6260,78.1056,-1.4796,-1.4078
2021-05-21,78.5500,78.8100,77.0400,77.1700,40201100,76.7097,78.0363,-1.3266,-1.3916
2021-05-24,77.2600,78.0100,76.8000,77.4400,33194300,76.8220,77.9921,-1.1701,-1.3473
2021-05-25,77.3300,78.7700,76.8400,77.8600,47353100,76.9817,77.9823,-1.0006,-1.2779
2021-05-26,77.8300,78.5900,77.5900,78.3400,30354000,77.1907,78.0088,-0.8181,-1.1860
2021-05-27,78.1100,78.4300,77.4700,78.4200,35883200,77.3798,78.0393,-0.6595,-1.0807
2021-05-28,78.6600,81.0900,78.6600,80.0800,40952700,77.7952,78.1904,-0.3952,-0.9436
2021-06-01,81.0100,82.9100,80.6600,80.8100,43433000,78.2590,78.3845,-0.1254,-0.7800
2021-06-02,81.0000,82.6000,80.6600,81.9700,35203200,78.8300,78.6501,0.1799,-0.5880
2021-06-03,81.1300,81.8900,80.2600,80.2800,29812000,79.0530,78.7708,0.2822,-0.4139
2021-06-04,80.9200,82.1900,80.8100,81.5800,26387800,79.4418,78.9789,0.4629,-0.2386
2021-06-07,81.4000,81.6800,80.3800,81.3500,29006800,79.7354,79.1545,0.5808,-0.0747
2021-06-08,81.8700,82.6500,80.4500,80.8900,26956600,79.9130,79.2831,0.6299,0.0662
2021-06-9,81.0900,81.6800,79.8000,79.9600,28454600,79.9202,79.3332,0.5870,0.1704
2021-06-10,80.0200,81.7100,79.7000,81.5600,28606400,80.1725,79.4982,0.6743,0.2712
2021-06-11,81.6100,82.3300,80.7000,81.3100,24310900,80.3475,79.6324,0.7151,0.3600
2021-06-14,81.5100,81.5500,80.2000,81.5500,27830200,80.5325,79.7744,0.7581,0.4396
2021-06-15,81.5900,81.6800,80.2200,80.4700,26194300,80.5229,79.8260,0.6969,0.4911
2021-06-16,80.7500,81.4500,78.9600,80.1100,29598300,80.4594,79.8470,0.6124,0.5153
2021-06-17,80.7700,85.3700,80.5700,84.5600,77822800,81.0902,80.1961,0.8941,0.5911
